sample_id,n_het_X,n_called_X,n_het_3L,n_called_3L,n_het_3R,n_called_3R,n_het_2R,n_called_2R,n_het_2L,n_called_2L,n_het_3L_no_inv,n_called_3L_no_inv,n_het_3R_no_inv,n_called_3R_no_inv,n_het_2R_no_inv,n_called_2R_no_inv
VBS17576,214998,13204201,522940,28141296,580151,36085814,827575,46918325,642242,36786352,233733,13545171,264097,17687142,602468,35619438
VBS17577,215546,13203683,525003,28140394,581016,36090291,726447,46949456,639887,36784810,235169,13544144,262960,17691412,598485,35623716
VBS17578,214709,13204286,522120,28141678,582431,36088075,729081,46942651,647271,36788864,233390,13544663,264498,17690006,598496,35617252
VBS17579,215611,13203048,519244,28143152,610902,36078918,727646,46946388,643705,36786347,232949,13545520,257724,17691107,597269,35621920
VBS17580,213525,13203214,521981,28143504,655660,36060482,807673,46924448,646251,36787293,233330,13546357,271078,17686964,597478,35620905
VBS17581,209073,13203946,522701,28143009,589953,36067209,826737,46919568,644377,36785949,233521,13544234,272380,17687698,601107,35620502
VBS17582,215183,13203482,521418,28141834,574574,36089362,730884,46943457,645425,36785121,232929,13543893,258649,17690122,602275,35618674
VBS17583,123848,13245209,461143,28161071,498080,36074447,734512,46932031,555770,36816396,208636,13553439,239534,17694000,522557,35644161
VBS17585,133752,13238022,484646,28145343,602900,36073262,768212,46912351,583760,36797576,219550,13546613,261328,17686215,547872,35629607
VBS17586,122965,13246927,528450,28140691,637185,36072458,733023,46939059,553785,36820074,209022,13553211,243423,17696538,523359,35648878
VBS17587,145412,13235124,498420,28139953,687033,36047575,758497,46912065,607627,36792200,224966,13543686,269167,17684269,572414,35622943
VBS17588,136833,13238242,502480,28140435,683632,36050339,737766,46908358,608518,36796004,226984,13544390,265091,17685811,568000,35622817
VBS17589,126041,13246122,458475,28162468,495235,36093309,751670,46929312,562142,36815778,212541,13553093,243133,17694217,536294,35642603
VBS17591,130006,13242731,474730,28157851,585769,36083593,696966,46935812,578540,36809584,218526,13549726,252377,17692526,536198,35643210
VBS17592,122517,13244454,456728,28161800,479599,36119176,728156,46936371,551014,36818718,210514,13552873,235365,17698142,522510,35647076
VBS17593,123068,13245662,549143,28134591,649547,36066317,707900,46934356,572641,36811620,217804,13549564,248282,17692469,540344,35642071
VBS17594,124218,13244602,452687,28164979,577623,36071914,691909,46944417,553121,36814288,205412,13555314,235532,17696427,521781,35648119
VBS17595,126467,13243936,470802,28158996,579572,36091174,707639,46935432,570920,36812146,214089,13552106,240234,17697128,534827,35640759
VBS17596,124350,13244973,459065,28159529,644642,36070059,737838,46932449,564029,36813768,209612,13552210,246850,17695768,526334,35644255
VBS17597,124343,13246430,449722,28164082,554051,36099427,586665,46983557,542638,36820981,203473,13554283,235593,17698585,518243,35646098
VBS17598,121786,13244518,453485,28162569,488334,36117878,681140,46942334,551485,36817295,205484,13553846,235593,17698250,513931,35647318
VBS17599,125378,13246249,533589,28140338,484030,36115622,734703,46933458,553068,36816342,206380,13555071,235338,17696805,525455,35644818
